Latitude,Longitude,Name,Mineral,Holder of Mining Right,Region,District,"Status (operational, non-operational)",Shareholding/Directorship,Year Founded,Stock Market,Year Listed,Production History,Date of Recorded production
31.3,-17.31666667,Trojan Mine,Nickel,Bindura Nickel Company,Mash Central,Bindura,Operationaal,"75.4% Mwana Africa, 23.6 Others",,,,69937,1964-84
29.23333333,-19.68333333,Shangani Mine,Nickel,Bindura Nickel Company,Midlands,Shangani,,"75.4% Mwana Africa, 23.6 Others",,,,29443,1975-84
29.78333333,-19.15,Hunter's Road,Nickel,Bindura Nickel Company,Midlands,Gweru,Exploration,"75.4% Mwana Africa, 23.6 Others",,,,,
29.75833333,-19.01666667,Ripple Creek Mine,Iron/Manganese,ZISCO/BIMCO,Midlands,Kwekwe,Operationaal,"54% Essar, 36 % Government of Zimbabwe, 10 % Others",,,,2205731,1965-84
,,,,,,,,,,,,,
29.93333333,-20.91666667,Sandawana Mine,Emerald,ZMDC,Midlands,Mberengwa,Non-operational,100% ZMDC,,,,22.26,1973-80
,,,,,,,,,,,,,
30.01666667,-19.725,Peak Mine,Chrome,Zimasco,Midlands,Shurugwi,Operational,"86.3% Sinosteel Corp. China, 13.7% China-Africa Development Fund",,,,5914237,1917-84
30,-19.65833333,Railway Block Mine,Chrome,Zimasco,Midlands,Shurugwi,Operational,"86.3% Sinosteel Corp. China, 13.7% China-Africa Development Fund",,,,6685717,1905-84
30.005,-19.675,Ironton Mine,Chrome,Zimasco,Midlands,Shurugwi,Operational,"86.3% Sinosteel Corp. China, 13.7% China-Africa Development Fund",,,,319494,1916-77
30.06165938,-19.5096286,Valley Mine,Chrome,Zimasco,Midlands,Shurugwi,Operational,"86.3% Sinosteel Corp. China, 13.7% China-Africa Development Fund",,,,,
,,Mutorashanga,Chrome,Zimasco,Mash West,Mtorashanga,Operational,"86.3% Sinosteel Corp. China, 13.7% China-Africa Development Fund",,,,,
30.16666667,-20.9,Inyala Mine,chrome,ZimAlloys,Midlands,Mberengwa,Non-operational,"Bought by Benscore in 2005 - Directors - Phillip M. Balm, Michael John Houston, Walter P Channon, Leonard R Chimimba, Elizabeth Chitiga, Antony C Delvin, Eric K Diack",,,,562034,1959-80
30.19166667,-20.96666667,Rhonda Mine,chrome,ZimAlloys,Midlands,Mberengwa,Non-operational,"Bought by Benscore in 2005 - Directors - Phillip M. Balm, Michael John Houston, Walter P Channon, Leonard R Chimimba, Elizabeth Chitiga, Antony C Delvin, Eric K Diack",,,,182653,1956-81
,,,,,,,,,,,,,
30.36120035,-18.63012548,Ngezi,"PGM, Gold, Nickel, Copper",Zimplats,Mashonaland West,Mhondoro/Chegutu,Operational,"87% Impala Platinum Holdings, 5.34% HSBC Custody Nominees (Australia)",,,,,
30.38512279,-18.37547747,Zinca,"PGM, Gold, Nickel, Copper",ZMDC,Mashonaland West,Chegutu/Zvimba,exploration ,Shares seeded to different compnies,,,,,
30.4211152,-18.02014071,Selous/Hartley,"PGM, Gold, Nickel, Copper",Zimplats,Mashonaland West,Zvimba,Care and Maintenance,"87% Impala Platinum Holdings, 5.34% HSBC Custody Nominees (Australia)",,,,,
29.80323719,-20.28758242,Mimosa,"PGM, Gold, Nickel, Copper",Mimosa Platinum Mine,Midlands,Zvishavane,Operational,50% Aquarius Platinum and 50% Implats,1993,"listed Australia Stock Exchange, London and Johannesburg Stock Exchange",1999,,
30.08437536,-19.60533547,Unki,"PGM, Gold, Nickel, Copper",Anglo Platinum,Midlands,Shurugwi,Operational,,,,,,
30,-19.81,Todal Mine,"PGM, Gold, Nickel, Copper",ZMDC,Midlands,Shurugwi,exploration ,"40% ZMDC, 60% Eurasian Natural Resources Corporation\",,,,,
,,,,,,,,,,,,,
31.19166667,-17.78333333,Chikurubi/Sternblick,Limestone,Lafarge cement Zimbabwe,Harare,Harare,Operational,,1956,Listed,1980,5789587,1938-84
